12-Jun-2020;;;;;;;;;;;
iShares Core S&P 500 ETF;;;;;;;;;;;
Inception Date;May 15, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);505.00;;;;;;;;;;
Shares Outstanding;616,550,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
MSFT;MICROSOFT CORP;Equity;5,64;187,74;57 467 689,00;10 788 983 932,86;10 788 983 932,86;Information Technology;2588173;US5949181045;NASDAQ
AAPL;APPLE INC;Equity;5,58;338,80;31 462 796,00;10 659 595 284,80;10 659 595 284,80;Information Technology;2046251;US0378331005;NASDAQ
AMZN;AMAZON COM INC;Equity;4,18;2 545,02;3 137 288,00;7 984 460 705,76;7 984 460 705,76;Consumer Discretionary;2000019;US0231351067;NASDAQ
FB;FACEBOOK CLASS A INC;Equity;2,17;228,58;18 127 897,00;4 143 674 696,26;4 143 674 696,26;Communication;B7TL820;US30303M1027;NASDAQ
GOOGL;ALPHABET INC CLASS A;Equity;1,67;1 412,92;2 257 075,00;3 189 066 409,00;3 189 066 409,00;Communication;BYVY8G0;US02079K3059;NASDAQ
GOOG;ALPHABET INC CLASS C;Equity;1,66;1 413,18;2 251 539,00;3 181 829 884,02;3 181 829 884,02;Communication;BYY88Y7;US02079K1079;NASDAQ
JNJ;JOHNSON & JOHNSON;Equity;1,47;142,15;19 825 889,00;2 818 250 121,35;2 818 250 121,35;Health Care;2475833;US4781601046;New York Stock Exchange Inc.
BRKB;BERKSHIRE HATHAWAY INC CLASS B;Equity;1,40;181,21;14 734 813,00;2 670 095 463,73;2 670 095 463,73;Financials;2073390;US0846707026;New York Stock Exchange Inc.
V;VISA INC CLASS A;Equity;1,30;192,26;12 895 253,00;2 479 241 341,78;2 479 241 341,78;Information Technology;B2PZN04;US92826C8394;New York Stock Exchange Inc.
JPM;JPMORGAN CHASE & CO;Equity;1,23;99,87;23 627 093,00;2 359 637 777,91;2 359 637 777,91;Financials;2190385;US46625H1005;New York Stock Exchange Inc.
PG;PROCTER & GAMBLE;Equity;1,14;115,62;18 785 890,00;2 172 024 601,80;2 172 024 601,80;Consumer Staples;2704407;US7427181091;New York Stock Exchange Inc.
UNH;UNITEDHEALTH GROUP INC;Equity;1,06;285,15;7 136 863,00;2 035 076 484,45;2 035 076 484,45;Health Care;2917766;US91324P1021;New York Stock Exchange Inc.
HD;HOME DEPOT INC;Equity;1,04;242,45;8 217 196,00;1 992 259 170,20;1 992 259 170,20;Consumer Discretionary;2434209;US4370761029;New York Stock Exchange Inc.
MA;MASTERCARD INC CLASS A;Equity;1,04;297,79;6 687 249,00;1 991 395 879,71;1 991 395 879,71;Information Technology;B121557;US57636Q1040;New York Stock Exchange Inc.
INTC;INTEL CORPORATION CORP;Equity;1,02;59,33;32 768 380,00;1 944 147 985,40;1 944 147 985,40;Information Technology;2463247;US4581401001;NASDAQ
VZ;VERIZON COMMUNICATIONS INC;Equity;0,92;56,53;31 154 845,00;1 761 183 387,85;1 761 183 387,85;Communication;2090571;US92343V1044;New York Stock Exchange Inc.
T;AT&T INC;Equity;0,88;30,50;55 028 519,00;1 678 369 829,50;1 678 369 829,50;Communication;2831811;US00206R1023;New York Stock Exchange Inc.
NVDA;NVIDIA CORP;Equity;0,86;357,30;4 610 172,00;1 647 214 455,60;1 647 214 455,60;Information Technology;2379504;US67066G1040;NASDAQ
DIS;WALT DISNEY;Equity;0,82;115,49;13 577 476,00;1 568 062 703,24;1 568 062 703,24;Communication;2270726;US2546871060;New York Stock Exchange Inc.
BAC;BANK OF AMERICA CORP;Equity;0,79;24,78;60 984 026,00;1 511 184 164,28;1 511 184 164,28;Financials;2295677;US0605051046;New York Stock Exchange Inc.
XOM;EXXON MOBIL CORP;Equity;0,79;47,17;31 872 883,00;1 503 443 891,11;1 503 443 891,11;Energy;2326618;US30231G1022;New York Stock Exchange Inc.
ADBE;ADOBE INC;Equity;0,78;406,54;3 646 543,00;1 482 465 591,22;1 482 465 591,22;Information Technology;2008154;US00724F1012;NASDAQ
MRK;MERCK & CO INC;Equity;0,77;76,30;19 178 872,00;1 463 347 933,60;1 463 347 933,60;Health Care;2778844;US58933Y1055;New York Stock Exchange Inc.
CSCO;CISCO SYSTEMS INC;Equity;0,75;45,07;31 956 946,00;1 440 299 556,22;1 440 299 556,22;Information Technology;2198163;US17275R1023;NASDAQ
PFE;PFIZER INC;Equity;0,74;33,75;41 688 485,00;1 406 986 368,75;1 406 986 368,75;Health Care;2684703;US7170811035;New York Stock Exchange Inc.
NFLX;NETFLIX INC;Equity;0,72;418,07;3 301 361,00;1 380 199 993,27;1 380 199 993,27;Communication;2857817;US64110L1061;NASDAQ
PYPL;PAYPAL HOLDINGS INC;Equity;0,72;155,26;8 845 209,00;1 373 307 149,34;1 373 307 149,34;Information Technology;BYW36M8;US70450Y1038;NASDAQ
PEP;PEPSICO INC;Equity;0,71;129,00;10 504 260,00;1 355 049 540,00;1 355 049 540,00;Consumer Staples;2681511;US7134481081;NASDAQ
CMCSA;COMCAST CORP CLASS A;Equity;0,71;39,46;34 198 331,00;1 349 466 141,26;1 349 466 141,26;Communication;2044545;US20030N1019;NASDAQ
KO;COCA-COLA;Equity;0,69;45,60;29 047 506,00;1 324 566 273,60;1 324 566 273,60;Consumer Staples;2206657;US1912161007;New York Stock Exchange Inc.
CVX;CHEVRON CORP;Equity;0,69;92,39;14 243 935,00;1 315 997 154,65;1 315 997 154,65;Energy;2838555;US1667641005;New York Stock Exchange Inc.
WMT;WALMART INC;Equity;0,66;117,74;10 686 234,00;1 258 197 191,16;1 258 197 191,16;Consumer Staples;2936921;US9311421039;New York Stock Exchange Inc.
ABBV;ABBVIE INC;Equity;0,64;92,46;13 287 657,00;1 228 576 766,22;1 228 576 766,22;Health Care;B92SR70;US00287Y1091;New York Stock Exchange Inc.
ABT;ABBOTT LABORATORIES;Equity;0,62;89,02;13 313 759,00;1 185 190 826,18;1 185 190 826,18;Health Care;2002305;US0028241000;New York Stock Exchange Inc.
CRM;SALESFORCE.COM INC;Equity;0,61;175,11;6 682 267,00;1 170 131 774,37;1 170 131 774,37;Information Technology;2310525;US79466L3024;New York Stock Exchange Inc.
MCD;MCDONALDS CORP;Equity;0,56;189,17;5 674 723,00;1 073 487 349,91;1 073 487 349,91;Consumer Discretionary;2550707;US5801351017;New York Stock Exchange Inc.
TMO;THERMO FISHER SCIENTIFIC INC;Equity;0,54;339,76;3 021 647,00;1 026 634 784,72;1 026 634 784,72;Health Care;2886907;US8835561023;New York Stock Exchange Inc.
COST;COSTCO WHOLESALE CORP;Equity;0,52;298,70;3 329 027,00;994 380 364,90;994 380 364,90;Consumer Staples;2701271;US22160K1051;NASDAQ
BMY;BRISTOL MYERS SQUIBB;Equity;0,52;56,17;17 662 518,00;992 103 636,06;992 103 636,06;Health Care;2126335;US1101221083;New York Stock Exchange Inc.
AMGN;AMGEN INC;Equity;0,51;217,90;4 477 171,00;975 575 560,90;975 575 560,90;Health Care;2023607;US0311621009;NASDAQ
ACN;ACCENTURE PLC CLASS A;Equity;0,50;201,59;4 786 502,00;964 910 938,18;964 910 938,18;Information Technology;B4BNMY3;IE00B4BNMY34;New York Stock Exchange Inc.
MDT;MEDTRONIC PLC;Equity;0,49;93,21;10 100 561,00;941 473 290,81;941 473 290,81;Health Care;BTN1Y11;IE00BTN1Y115;New York Stock Exchange Inc.
LLY;ELI LILLY;Equity;0,48;143,54;6 367 254,00;913 955 639,16;913 955 639,16;Health Care;2516152;US5324571083;New York Stock Exchange Inc.
NEE;NEXTERA ENERGY INC;Equity;0,48;246,91;3 684 417,00;909 719 401,47;909 719 401,47;Utilities;2328915;US65339F1012;New York Stock Exchange Inc.
NKE;NIKE INC CLASS B;Equity;0,47;96,43;9 390 386,00;905 514 921,98;905 514 921,98;Consumer Discretionary;2640147;US6541061031;New York Stock Exchange Inc.
AVGO;BROADCOM INC;Equity;0,47;300,25;2 990 337,00;897 848 684,25;897 848 684,25;Information Technology;BDZ78H9;US11135F1012;NASDAQ
TXN;TEXAS INSTRUMENT INC;Equity;0,46;123,97;7 047 114,00;873 630 722,58;873 630 722,58;Information Technology;2885409;US8825081040;NASDAQ
UNP;UNION PACIFIC CORP;Equity;0,45;166,18;5 233 202,00;869 653 508,36;869 653 508,36;Industrials;2914734;US9078181081;New York Stock Exchange Inc.
AMT;AMERICAN TOWER REIT CORP;Equity;0,45;258,08;3 339 416,00;861 836 481,28;861 836 481,28;Real Estate;B7FBFL2;US03027X1000;New York Stock Exchange Inc.
C;CITIGROUP INC;Equity;0,45;52,25;16 461 095,00;860 092 213,75;860 092 213,75;Financials;2297907;US1729674242;New York Stock Exchange Inc.
ORCL;ORACLE CORP;Equity;0,44;51,86;16 329 845,00;846 865 761,70;846 865 761,70;Information Technology;2661568;US68389X1054;New York Stock Exchange Inc.
PM;PHILIP MORRIS INTERNATIONAL INC;Equity;0,43;70,42;11 728 442,00;825 916 885,64;825 916 885,64;Consumer Staples;B2PKRQ3;US7181721090;New York Stock Exchange Inc.
LIN;LINDE PLC;Equity;0,43;201,94;4 050 279,00;817 913 341,26;817 913 341,26;Materials;BZ12WP8;IE00BZ12WP82;New York Stock Exchange Inc.
IBM;INTERNATIONAL BUSINESS MACHINES CO;Equity;0,43;121,91;6 676 468,00;813 928 213,88;813 928 213,88;Information Technology;2005973;US4592001014;New York Stock Exchange Inc.
WFC;WELLS FARGO;Equity;0,42;27,97;29 021 322,00;811 726 376,34;811 726 376,34;Financials;2649100;US9497461015;New York Stock Exchange Inc.
DHR;DANAHER CORP;Equity;0,42;168,38;4 740 112,00;798 140 058,56;798 140 058,56;Health Care;2250870;US2358511028;New York Stock Exchange Inc.
HON;HONEYWELL INTERNATIONAL INC;Equity;0,41;144,51;5 387 937,00;778 610 775,87;778 610 775,87;Industrials;2020459;US4385161066;New York Stock Exchange Inc.
BA;BOEING;Equity;0,40;189,51;4 021 547,00;762 123 371,97;762 123 371,97;Industrials;2108601;US0970231058;New York Stock Exchange Inc.
QCOM;QUALCOMM INC;Equity;0,38;85,24;8 611 471,00;734 041 788,04;734 041 788,04;Information Technology;2714923;US7475251036;NASDAQ
LOW;LOWES COMPANIES INC;Equity;0,38;126,05;5 781 319,00;728 735 259,95;728 735 259,95;Consumer Discretionary;2536763;US5486611073;New York Stock Exchange Inc.
RTX;RAYTHEON TECHNOLOGIES CORP;Equity;0,38;65,37;11 065 636,00;723 360 625,32;723 360 625,32;Industrials;BM5M5Y3;US75513E1010;New York Stock Exchange Inc.
LMT;LOCKHEED MARTIN CORP;Equity;0,37;381,87;1 871 948,00;714 840 782,76;714 840 782,76;Industrials;2522096;US5398301094;New York Stock Exchange Inc.
GILD;GILEAD SCIENCES INC;Equity;0,37;73,20;9 539 820,00;698 314 824,00;698 314 824,00;Health Care;2369174;US3755581036;NASDAQ
SBUX;STARBUCKS CORP;Equity;0,36;76,38;8 906 740,00;680 296 801,20;680 296 801,20;Consumer Discretionary;2842255;US8552441094;NASDAQ
MMM;3M;Equity;0,35;154,87;4 337 706,00;671 780 528,22;671 780 528,22;Industrials;2595708;US88579Y1010;New York Stock Exchange Inc.
FIS;FIDELITY NATIONAL INFORMATION SERV;Equity;0,33;137,08;4 622 881,00;633 704 527,48;633 704 527,48;Information Technology;2769796;US31620M1062;New York Stock Exchange Inc.
CVS;CVS HEALTH CORP;Equity;0,33;64,15;9 785 604,00;627 746 496,60;627 746 496,60;Health Care;2577609;US1266501006;New York Stock Exchange Inc.
CHTR;CHARTER COMMUNICATIONS INC CLASS A;Equity;0,32;522,57;1 179 319,00;616 276 729,83;616 276 729,83;Communication;BZ6VT82;US16119P1084;NASDAQ
BLK;BLACKROCK INC;Equity;0,32;527,04;1 146 954,00;604 490 636,16;604 490 636,16;Financials;2494504;US09247X1019;New York Stock Exchange Inc.
SPGI;S&P GLOBAL INC;Equity;0,31;316,91;1 843 258,00;584 146 892,78;584 146 892,78;Financials;BYV2325;US78409V1044;New York Stock Exchange Inc.
MO;ALTRIA GROUP INC;Equity;0,29;39,13;14 051 662,00;549 841 534,06;549 841 534,06;Consumer Staples;2692632;US02209S1033;New York Stock Exchange Inc.
INTU;INTUIT INC;Equity;0,29;280,68;1 957 961,00;549 560 493,48;549 560 493,48;Information Technology;2459020;US4612021034;NASDAQ
MDLZ;MONDELEZ INTERNATIONAL INC CLASS A;Equity;0,29;50,73;10 830 057,00;549 408 791,61;549 408 791,61;Consumer Staples;B8CKK03;US6092071058;NASDAQ
NOW;SERVICENOW INC;Equity;0,29;385,13;1 418 592,00;546 342 336,96;546 342 336,96;Information Technology;B80NXX8;US81762P1021;New York Stock Exchange Inc.
UPS;UNITED PARCEL SERVICE INC CLASS B;Equity;0,28;101,48;5 270 932,00;534 894 179,36;534 894 179,36;Industrials;2517382;US9113121068;New York Stock Exchange Inc.
CI;CIGNA CORP;Equity;0,28;190,02;2 808 820,00;533 731 976,40;533 731 976,40;Health Care;BHJ0775;US1255231003;New York Stock Exchange Inc.
PLD;PROLOGIS REIT INC;Equity;0,27;94,46;5 550 738,00;524 322 711,48;524 322 711,48;Real Estate;B44WZD7;US74340W1036;New York Stock Exchange Inc.
VRTX;VERTEX PHARMACEUTICALS INC;Equity;0,27;268,56;1 934 082,00;519 417 061,92;519 417 061,92;Health Care;2931034;US92532F1003;NASDAQ
D;DOMINION ENERGY INC;Equity;0,27;83,15;6 191 178,00;514 796 450,70;514 796 450,70;Utilities;2542049;US25746U1097;New York Stock Exchange Inc.
CCI;CROWN CASTLE INTERNATIONAL REIT CO;Equity;0,27;164,37;3 127 328,00;514 038 903,36;514 038 903,36;Real Estate;BTGQCX1;US22822V1017;New York Stock Exchange Inc.
AXP;AMERICAN EXPRESS;Equity;0,27;101,68;5 046 248,00;513 102 496,64;513 102 496,64;Financials;2026082;US0258161092;New York Stock Exchange Inc.
BDX;BECTON DICKINSON;Equity;0,27;230,88;2 220 611,00;512 694 667,68;512 694 667,68;Health Care;2087807;US0758871091;New York Stock Exchange Inc.
CAT;CATERPILLAR INC;Equity;0,27;123,15;4 156 993,00;511 933 687,95;511 933 687,95;Industrials;2180201;US1491231015;New York Stock Exchange Inc.
BKNG;BOOKING HOLDINGS INC;Equity;0,27;1 623,92;314 808,00;511 223 007,36;511 223 007,36;Consumer Discretionary;BDRXDB4;US09857L1089;NASDAQ
ANTM;ANTHEM INC;Equity;0,27;265,74;1 906 653,00;506 673 968,22;506 673 968,22;Health Care;BSPHGL4;US0367521038;New York Stock Exchange Inc.
ISRG;INTUITIVE SURGICAL INC;Equity;0,25;558,41;868 942,00;485 225 902,22;485 225 902,22;Health Care;2871301;US46120E6023;NASDAQ
GS;GOLDMAN SACHS GROUP INC;Equity;0,25;201,78;2 395 954,00;483 455 598,12;483 455 598,12;Financials;2407966;US38141G1040;New York Stock Exchange Inc.
ZTS;ZOETIS INC CLASS A;Equity;0,25;134,07;3 582 601,00;480 319 316,07;480 319 316,07;Health Care;B95WG16;US98978V1035;New York Stock Exchange Inc.
ADP;AUTOMATIC DATA PROCESSING INC;Equity;0,25;147,01;3 254 644,00;478 465 214,44;478 465 214,44;Information Technology;2065308;US0530151036;NASDAQ
TJX;TJX INC;Equity;0,25;52,46;9 119 410,00;478 404 248,60;478 404 248,60;Consumer Discretionary;2989301;US8725401090;New York Stock Exchange Inc.
GE;GENERAL ELECTRIC;Equity;0,25;7,25;65 692 029,00;476 267 210,25;476 267 210,25;Industrials;2380498;US3696041033;New York Stock Exchange Inc.
DUK;DUKE ENERGY CORP;Equity;0,25;86,74;5 483 408,00;475 630 809,92;475 630 809,92;Utilities;B7VD3F2;US26441C2044;New York Stock Exchange Inc.
CME;CME GROUP INC CLASS A;Equity;0,25;174,72;2 695 512,00;470 959 856,64;470 959 856,64;Financials;2965839;US12572Q1058;NASDAQ
AMD;ADVANCED MICRO DEVICES INC;Equity;0,25;53,50;8 797 966,00;470 691 181,00;470 691 181,00;Information Technology;2007849;US0079031078;NASDAQ
CL;COLGATE-PALMOLIVE;Equity;0,25;72,79;6 446 519,00;469 242 118,01;469 242 118,01;Consumer Staples;2209106;US1941621039;New York Stock Exchange Inc.
SYK;STRYKER CORP;Equity;0,24;187,79;2 429 935,00;456 317 493,65;456 317 493,65;Health Care;2853688;US8636671013;New York Stock Exchange Inc.
EQIX;EQUINIX REIT INC;Equity;0,24;676,64;664 231,00;449 445 263,84;449 445 263,84;Real Estate;BVLZX12;US29444U7000;NASDAQ
REGN;REGENERON PHARMACEUTICALS INC;Equity;0,23;588,39;759 221,00;446 718 044,19;446 718 044,19;Health Care;2730190;US75886F1075;NASDAQ
TGT;TARGET CORP;Equity;0,23;116,90;3 811 388,00;445 551 257,20;445 551 257,20;Consumer Discretionary;2259101;US87612E1064;New York Stock Exchange Inc.
SO;SOUTHERN;Equity;0,23;56,17;7 887 153,00;443 021 384,01;443 021 384,01;Utilities;2829601;US8425871071;New York Stock Exchange Inc.
FISV;FISERV INC;Equity;0,23;100,34;4 294 538,00;430 913 942,92;430 913 942,92;Information Technology;2342034;US3377381088;NASDAQ
CB;CHUBB LTD;Equity;0,22;125,69;3 413 615,00;429 057 269,35;429 057 269,35;Financials;B3BQMF6;CH0044328745;New York Stock Exchange Inc.
XTSLA;BLK CSH FND TREASURY SL AGENCY;Money Market;0,22;1,00;427 781 000,00;427 781 000,00;427 781 000,00;Cash and/or Derivatives;--;US0669224778;--
ATVI;ACTIVISION BLIZZARD INC;Equity;0,22;71,68;5 776 683,00;414 072 637,44;414 072 637,44;Communication;2575818;US00507V1098;NASDAQ
CSX;CSX CORP;Equity;0,21;69,57;5 869 976,00;408 374 230,32;408 374 230,32;Industrials;2160753;US1264081035;NASDAQ
MS;MORGAN STANLEY;Equity;0,21;46,28;8 762 581,00;405 532 248,68;405 532 248,68;Financials;2262314;US6174464486;New York Stock Exchange Inc.
MU;MICRON TECHNOLOGY INC;Equity;0,21;48,69;8 323 328,00;405 262 840,32;405 262 840,32;Information Technology;2588184;US5951121038;NASDAQ
GPN;GLOBAL PAYMENTS INC;Equity;0,21;178,58;2 268 001,00;405 019 618,58;405 019 618,58;Information Technology;2712013;US37940X1028;New York Stock Exchange Inc.
USB;US BANCORP;Equity;0,21;37,51;10 683 998,00;400 756 764,98;400 756 764,98;Financials;2736035;US9029733048;New York Stock Exchange Inc.
TFC;TRUIST FINANCIAL CORP;Equity;0,21;39,47;10 123 052,00;399 556 862,44;399 556 862,44;Financials;BKP7287;US89832Q1094;New York Stock Exchange Inc.
MMC;MARSH & MCLENNAN INC;Equity;0,21;104,34;3 795 961,00;396 070 570,74;396 070 570,74;Financials;2567741;US5717481023;New York Stock Exchange Inc.
AMAT;APPLIED MATERIAL INC;Equity;0,21;56,55;6 943 779,00;392 670 702,45;392 670 702,45;Information Technology;2046552;US0382221051;NASDAQ
ICE;INTERCONTINENTAL EXCHANGE INC;Equity;0,20;93,26;4 188 166,00;390 588 361,16;390 588 361,16;Financials;BFSSDS9;US45866F1049;New York Stock Exchange Inc.
APD;AIR PRODUCTS AND CHEMICALS INC;Equity;0,20;235,04;1 656 678,00;389 385 597,12;389 385 597,12;Materials;2011602;US0091581068;New York Stock Exchange Inc.
ECL;ECOLAB INC;Equity;0,20;204,06;1 862 816,00;380 126 232,96;380 126 232,96;Materials;2304227;US2788651006;New York Stock Exchange Inc.
BIIB;BIOGEN INC;Equity;0,20;279,27;1 357 227,00;379 032 784,29;379 032 784,29;Health Care;2455965;US09062X1037;NASDAQ
HUM;HUMANA INC;Equity;0,20;378,72;999 927,00;378 692 353,44;378 692 353,44;Health Care;2445063;US4448591028;New York Stock Exchange Inc.
ILMN;ILLUMINA INC;Equity;0,20;341,61;1 105 506,00;377 651 904,66;377 651 904,66;Health Care;2613990;US4523271090;NASDAQ
NOC;NORTHROP GRUMMAN CORP;Equity;0,20;317,68;1 178 915,00;374 517 717,20;374 517 717,20;Industrials;2648806;US6668071029;New York Stock Exchange Inc.
BSX;BOSTON SCIENTIFIC CORP;Equity;0,19;35,35;10 519 201,00;371 853 755,35;371 853 755,35;Health Care;2113434;US1011371077;New York Stock Exchange Inc.
ADSK;AUTODESK INC;Equity;0,19;222,96;1 661 814,00;370 518 049,44;370 518 049,44;Information Technology;2065159;US0527691069;NASDAQ
DE;DEERE;Equity;0,19;154,97;2 365 346,00;366 557 669,62;366 557 669,62;Industrials;2261203;US2441991054;New York Stock Exchange Inc.
PNC;PNC FINANCIAL SERVICES GROUP INC;Equity;0,19;110,76;3 291 261,00;364 540 068,36;364 540 068,36;Financials;2692665;US6934751057;New York Stock Exchange Inc.
ITW;ILLINOIS TOOL INC;Equity;0,19;164,94;2 198 943,00;362 693 658,42;362 693 658,42;Industrials;2457552;US4523081093;New York Stock Exchange Inc.
